,success,method,level,cost,exploredNodes,frontierNodes,runtime
0,True,dfs,level1.txt,3,22,1,0.0
1,True,dfs,level1.txt,3,22,1,0.0
2,True,dfs,level1.txt,3,22,1,0.0
3,True,dfs,level1.txt,3,22,1,0.0010027885437011719
4,True,dfs,level1.txt,3,22,1,0.0009958744049072266
5,True,dfs,level1.txt,3,22,1,0.0
6,True,dfs,level1.txt,3,22,1,0.0
7,True,dfs,level1.txt,3,22,1,0.0
8,True,dfs,level1.txt,3,22,1,0.0005300045013427734
9,True,dfs,level1.txt,3,22,1,0.0
10,True,dfs,level1.txt,3,22,1,0.0
11,True,dfs,level1.txt,3,22,1,0.0
12,True,dfs,level1.txt,3,22,1,0.0
13,True,dfs,level1.txt,3,22,1,0.0
14,True,dfs,level1.txt,3,22,1,0.0
15,True,dfs,level1.txt,3,22,1,0.0
16,True,dfs,level1.txt,3,22,1,0.0010039806365966797
17,True,dfs,level1.txt,3,22,1,0.0
18,True,dfs,level1.txt,3,22,1,0.0
19,True,dfs,level1.txt,3,22,1,0.0
20,True,bfs,level1.txt,3,7,1,0.0015082359313964844
21,True,bfs,level1.txt,3,7,1,0.0
22,True,bfs,level1.txt,3,7,1,0.0
23,True,bfs,level1.txt,3,7,1,0.0010089874267578125
24,True,bfs,level1.txt,3,7,1,0.0
25,True,bfs,level1.txt,3,7,1,0.0
26,True,bfs,level1.txt,3,7,1,0.0
27,True,bfs,level1.txt,3,7,1,0.0
28,True,bfs,level1.txt,3,7,1,0.0
29,True,bfs,level1.txt,3,7,1,0.0
30,True,bfs,level1.txt,3,7,1,0.0
31,True,bfs,level1.txt,3,7,1,0.0
32,True,bfs,level1.txt,3,7,1,0.0010018348693847656
33,True,bfs,level1.txt,3,7,1,0.0
34,True,bfs,level1.txt,3,7,1,0.0
35,True,bfs,level1.txt,3,7,1,0.0005478858947753906
36,True,bfs,level1.txt,3,7,1,0.0
37,True,bfs,level1.txt,3,7,1,0.0
38,True,bfs,level1.txt,3,7,1,0.0
39,True,bfs,level1.txt,3,7,1,0.0
80,True,dfs,level2.txt,1478,15869,629,0.20337510108947754
81,True,dfs,level2.txt,1478,15869,629,0.19355082511901855
82,True,dfs,level2.txt,1478,15869,629,0.18458127975463867
83,True,dfs,level2.txt,1478,15869,629,0.19509553909301758
84,True,dfs,level2.txt,1478,15869,629,0.18427085876464844
85,True,dfs,level2.txt,1478,15869,629,0.17832016944885254
86,True,dfs,level2.txt,1478,15869,629,0.22239065170288086
87,True,dfs,level2.txt,1478,15869,629,0.18970060348510742
88,True,dfs,level2.txt,1478,15869,629,0.19047212600708008
89,True,dfs,level2.txt,1478,15869,629,0.19538354873657227
90,True,dfs,level2.txt,1478,15869,629,0.1868419647216797
91,True,dfs,level2.txt,1478,15869,629,0.18949198722839355
92,True,dfs,level2.txt,1478,15869,629,0.11371684074401855
93,True,dfs,level2.txt,1478,15869,629,0.2203540802001953
94,True,dfs,level2.txt,1478,15869,629,0.19235587120056152
95,True,dfs,level2.txt,1478,15869,629,0.19765949249267578
96,True,dfs,level2.txt,1478,15869,629,0.20335173606872559
97,True,dfs,level2.txt,1478,15869,629,0.200775146484375
98,True,dfs,level2.txt,1478,15869,629,0.19439029693603516
99,True,dfs,level2.txt,1478,15869,629,0.1266319751739502
100,True,bfs,level2.txt,78,30396,17,0.4287724494934082
101,True,bfs,level2.txt,78,30396,17,0.4116032123565674
102,True,bfs,level2.txt,78,30396,17,0.3373844623565674
103,True,bfs,level2.txt,78,30396,17,0.42012453079223633
104,True,bfs,level2.txt,78,30396,17,0.4107241630554199
105,True,bfs,level2.txt,78,30396,17,0.3492264747619629
106,True,bfs,level2.txt,78,30396,17,0.46611547470092773
107,True,bfs,level2.txt,78,30396,17,0.4410572052001953
108,True,bfs,level2.txt,78,30396,17,0.4287436008453369
109,True,bfs,level2.txt,78,30396,17,0.48624634742736816
110,True,bfs,level2.txt,78,30396,17,0.43578076362609863
111,True,bfs,level2.txt,78,30396,17,0.3975660800933838
112,True,bfs,level2.txt,78,30396,17,0.45764780044555664
113,True,bfs,level2.txt,78,30396,17,0.3536064624786377
114,True,bfs,level2.txt,78,30396,17,0.4486660957336426
115,True,bfs,level2.txt,78,30396,17,0.4440457820892334
116,True,bfs,level2.txt,78,30396,17,0.39421987533569336
117,True,bfs,level2.txt,78,30396,17,0.45551562309265137
118,True,bfs,level2.txt,78,30396,17,0.4561924934387207
119,True,bfs,level2.txt,78,30396,17,0.38078832626342773
160,True,dfs,level3.txt,14,89,9,0.0009613037109375
161,True,dfs,level3.txt,14,89,9,0.0015439987182617188
162,True,dfs,level3.txt,14,89,9,0.001001119613647461
